School;Student Enrolments;Teaching Staff;ICSEA_Score;Expenditure ;Fund_req
Ballarat Clarendon College;1422;163;1160;15176;1
Emmanuel College;2070;152;1059;11876;0
Doncaster secondary college;1494;114;1061;15476;1
St Kevin's College;2099;228;1177;12446;0
Canley Vale High School ;1574;105;952;16176;1
Catherine McAuley Westmead;1204;94;1076;16876;1
Lake Munmorah High School;722;59;931;16186;1
San Clemente High School;705;57;1012;15176;1
Taminmin College;1168;97;941;15176;1
Katherine High School;539;45;853;10176;0
Casuarina Senior College;897;72;968;12176;0
Arthur Phillip High School;1113;80;968;15176;1
Mandurah Catholic College;1644;117;1041;15176;1
Mazenod College;842;73;1068;10886;0
St Stephen's School;1883;192;1116;15176;1
TrinityCollege;1217;118;1115;15176;1
Albany Creek State High School ;1457;113;1050;16176;1
Marymount College;1331;107;1069;16776;1
Atherton State High School;891;84;982;14176;0
Highfields state secondary college;973;80;1012;18176;1
Blackwood High School;946;66;1067;17176;1
Prescott College;235;23;1030;12176;0
Springbank  Secondary college;171;24;992;11176;1
Gladstone High School;132;16;945;12276;0
Don College;767;69;951;16676;1
St Patrick's College;1424;132;1021;17176;1
Latrobe High School ;535;45;945;18176;1
Reece High School;475;44;928;15176;1
Dickson College;709;68;1090;15176;1
Daramalan College ;1386;122;1114;13176;1
The Canberra College;1119;82;1075;15176;1
Alfred Deakin High School;883;67;1126;12176;0
